fft_mode,lattice_size,beta,interaction,seed,re,im,abs,var_re,var_abs,samples,source
real,4,4.0,0.0,8400,1.0,0.0,1.0,0.0,0.0,1024,experiments/slurm_runs/1079640/sign_vs_U_checkerboard/real/L4_beta4/U0.00/average_sign_vs_U.json
real,4,4.0,0.05,8401,0.051792011186770466,3.123880548803862e-18,0.8087685432879353,0.7430397063706345,0.09097878393675185,1024,experiments/slurm_runs/1079641/sign_vs_U_checkerboard/real/L4_beta4/U0.05/average_sign_vs_U.json
real,4,4.0,0.1,8402,0.03658499513618675,-3.1876332130652137e-18,0.63565479085603,0.5161761881363817,0.11306397259428289,1024,experiments/slurm_runs/1079642/sign_vs_U_checkerboard/real/L4_beta4/U0.10/average_sign_vs_U.json
real,4,4.0,0.15,8403,0.00856487110894942,-1.6631999805571125e-17,0.5418287937743181,0.401255677230682,0.1074636862436641,1024,experiments/slurm_runs/1079643/sign_vs_U_checkerboard/real/L4_beta4/U0.15/average_sign_vs_U.json
real,4,4.0,0.2,8404,-0.00795689445525292,2.176013382133444e-17,0.4997340102140065,0.3485148246538457,0.09859999841114239,1024,experiments/slurm_runs/1079644/sign_vs_U_checkerboard/real/L4_beta4/U0.20/average_sign_vs_U.json
real,4,4.0,0.4,8405,-0.006649744649805452,1.9991811746933402e-17,0.3146431177042793,0.15000849849432307,0.050955694825979385,1024,experiments/slurm_runs/1079645/sign_vs_U_checkerboard/real/L4_beta4/U0.40/average_sign_vs_U.json
real,4,4.0,0.6,8406,0.006824537937743202,-1.963907802788165e-17,0.21634089250972738,0.07568695791101311,0.028884444878037624,1024,experiments/slurm_runs/1079646/sign_vs_U_checkerboard/real/L4_beta4/U0.60/average_sign_vs_U.json
real,4,4.0,0.8,8407,-0.005327395428015577,4.949440416665925e-18,0.18457411235408558,0.055130616020238894,0.02105812028937456,1024,experiments/slurm_runs/1079647/sign_vs_U_checkerboard/real/L4_beta4/U0.80/average_sign_vs_U.json
real,4,4.0,1.0,8408,0.009796023832684828,-1.1011388092087213e-16,0.1430341074902725,0.032003812738419596,0.01162111393651256,1024,experiments/slurm_runs/1079648/sign_vs_U_checkerboard/real/L4_beta4/U1.00/average_sign_vs_U.json
real,6,6.0,0.0,8500,1.0,0.0,1.0,0.0,0.0,1024,experiments/slurm_runs/1079649/sign_vs_U_checkerboard/real/L6_beta6/U0.00/average_sign_vs_U.json
real,6,6.0,0.05,8501,0.02887384792626728,-1.3268641998880386e-17,0.5554390480990773,0.42037261256512515,0.11239301417943671,1024,experiments/slurm_runs/1079650/sign_vs_U_checkerboard/real/L6_beta6/U0.05/average_sign_vs_U.json
real,6,6.0,0.1,8502,0.011473484302995393,-1.730612731056853e-17,0.36715824812788067,0.2022130623250032,0.0674078783112064,1024,experiments/slurm_runs/1079651/sign_vs_U_checkerboard/real/L6_beta6/U0.10/average_sign_vs_U.json
real,6,6.0,0.15,8503,-0.0025111607142857062,1.7218564418184082e-18,0.29948516705069217,0.13441436137421678,0.04464163333924711,1024,experiments/slurm_runs/1079652/sign_vs_U_checkerboard/real/L6_beta6/U0.15/average_sign_vs_U.json
real,6,6.0,0.2,8504,-0.005335091445852519,3.5193963071379596e-17,0.21824821788594587,0.0745961714903401,0.026945816530919355,1024,experiments/slurm_runs/1079653/sign_vs_U_checkerboard/real/L6_beta6/U0.20/average_sign_vs_U.json
real,6,6.0,0.4,8505,-0.0004072760656682108,7.406325946730719e-17,0.13612696212557512,0.029031572017460358,0.010483074306420323,1024,experiments/slurm_runs/1079654/sign_vs_U_checkerboard/real/L6_beta6/U0.40/average_sign_vs_U.json
real,6,6.0,0.6,8506,-0.00036002304147465455,1.0244319775144169e-18,0.10635530673963019,0.01903230830111907,0.007709929635613099,1024,experiments/slurm_runs/1079655/sign_vs_U_checkerboard/real/L6_beta6/U0.60/average_sign_vs_U.json
real,6,6.0,0.8,8507,-0.006129392281105991,3.6574400915702104e-16,0.07955159130184251,0.01027857366314016,0.003981537985316332,1024,experiments/slurm_runs/1079656/sign_vs_U_checkerboard/real/L6_beta6/U0.80/average_sign_vs_U.json
real,6,6.0,1.0,8508,-0.001750612039170501,1.2171934092453054e-17,0.06672127016128958,0.007220686004602164,0.002767674110750472,1024,experiments/slurm_runs/1079657/sign_vs_U_checkerboard/real/L6_beta6/U1.00/average_sign_vs_U.json
real,8,8.0,0.0,8600,1.0,0.0,1.0,0.0,0.0,1024,experiments/slurm_runs/1079658/sign_vs_U_checkerboard/real/L8_beta8/U0.00/average_sign_vs_U.json
real,8,8.0,0.05,8601,0.006744221411192222,-2.0567562151852392e-17,0.3735477493917273,0.20449063208577434,0.06486183928962784,1024,experiments/slurm_runs/1079659/sign_vs_U_checkerboard/real/L8_beta8/U0.05/average_sign_vs_U.json
real,8,8.0,0.1,8602,0.007306873479318736,-2.2602122109377428e-17,0.23836013534063288,0.08896304636275637,0.032145396657153706,1024,experiments/slurm_runs/1079660/sign_vs_U_checkerboard/real/L8_beta8/U0.10/average_sign_vs_U.json
real,8,8.0,0.15,8603,-0.005462097019464708,4.7113855657149575e-17,0.1814324817518249,0.05120866221316712,0.018288602786857382,1024,experiments/slurm_runs/1079661/sign_vs_U_checkerboard/real/L8_beta8/U0.15/average_sign_vs_U.json
