fft_mode,lattice_size,beta,interaction,seed,re,im,abs,var_re,var_abs,samples,source
complex,6,6.0,10.0,9104,-0.0013683107006178645,-0.0006267268917046593,0.03215775325058047,0.0006826319079178226,0.0003218166249621753,1024,experiments/slurm_runs/1079722/sign_vs_U_checkerboard_high/complex/L6_beta6/U10/average_sign_vs_U.json
real,6,6.0,10.0,10104,0.0015886016705069128,-1.7820332577293567e-14,0.031929543490783106,0.0015933994152965442,0.0005754332154172022,1024,experiments/slurm_runs/1079758/sign_vs_U_checkerboard_high/real/L6_beta6/U10/average_sign_vs_U.json
complex,6,6.0,15.0,9105,-0.0005867119767836576,-0.0006856869193951711,0.03218657844481006,0.0006494551077239215,0.00027764623642104706,1024,experiments/slurm_runs/1079723/sign_vs_U_checkerboard_high/complex/L6_beta6/U15/average_sign_vs_U.json
real,6,6.0,15.0,10105,-0.00044777865783410156,1.8965796216280382e-14,0.030554705501151802,0.0014691109511520105,0.0005348090243909536,1024,experiments/slurm_runs/1079759/sign_vs_U_checkerboard_high/real/L6_beta6/U15/average_sign_vs_U.json
complex,6,6.0,20.0,9106,0.00021867369887333525,-0.0005788106562466275,0.03262767091010896,0.0006895482252148403,0.00028476027419941047,1024,experiments/slurm_runs/1079724/sign_vs_U_checkerboard_high/complex/L6_beta6/U20/average_sign_vs_U.json
real,6,6.0,20.0,10106,-0.0018023653513824867,3.0023619406780354e-14,0.031243249567972073,0.0015075881896997093,0.0005337450483002133,1024,experiments/slurm_runs/1079760/sign_vs_U_checkerboard_high/real/L6_beta6/U20/average_sign_vs_U.json
complex,6,6.0,25.0,9107,-0.0005534950477923775,-0.00017866417209335347,0.03145027875341367,0.0006517334411169851,0.00027514266488625914,1024,experiments/slurm_runs/1079725/sign_vs_U_checkerboard_high/complex/L6_beta6/U25/average_sign_vs_U.json
real,6,6.0,25.0,10107,-0.0005175331221198154,4.0357011576701245e-14,0.030718966013824574,0.001464793160251993,0.0005204839508636814,1024,experiments/slurm_runs/1079761/sign_vs_U_checkerboard_high/real/L6_beta6/U25/average_sign_vs_U.json
complex,6,6.0,30.0,9108,-0.0003904221927012578,-0.0003550014443222809,0.03262646014957323,0.0006824550330832492,0.00029990797891818954,1024,experiments/slurm_runs/1079726/sign_vs_U_checkerboard_high/complex/L6_beta6/U30/average_sign_vs_U.json
real,6,6.0,30.0,10108,0.0008843065956221212,-8.04442939679173e-15,0.030172181019584944,0.0013975956372501565,0.000487127999374002,1024,experiments/slurm_runs/1079762/sign_vs_U_checkerboard_high/real/L6_beta6/U30/average_sign_vs_U.json
complex,8,8.0,0.0,9200,1.0,0.0,1.0,0.0,0.0,1024,experiments/slurm_runs/1079727/sign_vs_U_checkerboard_high/complex/L8_beta8/U0/average_sign_vs_U.json
real,8,8.0,0.0,10200,1.0,0.0,1.0,0.0,0.0,1024,experiments/slurm_runs/1079763/sign_vs_U_checkerboard_high/real/L8_beta8/U0/average_sign_vs_U.json
complex,8,8.0,1.0,9201,-0.0005034323024629791,-0.0010070214649547243,0.026488646294730654,0.0004656613339649411,0.00022161010191572517,1024,experiments/slurm_runs/1079728/sign_vs_U_checkerboard_high/complex/L8_beta8/U1/average_sign_vs_U.json
real,8,8.0,1.0,10201,0.0009228634428223852,-1.327909796064504e-15,0.038744107360097264,0.002689866028079268,0.0011881453257592634,1024,experiments/slurm_runs/1079764/sign_vs_U_checkerboard_high/real/L8_beta8/U1/average_sign_vs_U.json
complex,8,8.0,2.0,9202,0.0004465975717938497,0.000844182734745818,0.022874462956591818,0.00034806495160840404,0.00015625845428073076,1024,experiments/slurm_runs/1079729/sign_vs_U_checkerboard_high/complex/L8_beta8/U2/average_sign_vs_U.json
real,8,8.0,2.0,10202,-9.599300486617964e-05,-7.235027654680627e-15,0.027193582725060835,0.0012042199097340796,0.0004640153269284394,1024,experiments/slurm_runs/1079765/sign_vs_U_checkerboard_high/real/L8_beta8/U2/average_sign_vs_U.json
